Anisomys imitator,,,,,,,,,,,,,,,,,,,
Anomalurus beecrofti,Anomalurops beecrofti,,,,,,,,,,,,,,,,,,
Anomalurus derbianus,Anomalurus beldeni,Anomalurus chrysophaenus,Anomalurus cinereus,Anomalurus erythronotus,Anomalurus fraseri,Anomalurus jacksoni,Anomalurus neavei,Anomalurus nigrensis,Anomalurus orientalis,Anomalurus squamicaudus,Pteromys derbianus,,,,,,,,
Anomalurus pelii,,,,,,,,,,,,,,,,,,,
Anomalurus pusillus,,,,,,,,,,,,,,,,,,,
Anonymomys mindorensis,,,,,,,,,,,,,,,,,,,
Anotomys leander,,,,,,,,,,,,,,,,,,,
Anoura cadenai,,,,,,,,,,,,,,,,,,,
Anoura caudifer,Anoura caudifera,Glossophaga caudifer,,,,,,,,,,,,,,,,,
Anoura cultrata,,,,,,,,,,,,,,,,,,,
Anoura fistulata,,,,,,,,,,,,,,,,,,,
Anoura geoffroyi,,,,,,,,,,,,,,,,,,,
Anoura latidens,,,,,,,,,,,,,,,,,,,
Anoura luismanueli,,,,,,,,,,,,,,,,,,,
Anourosorex assamensis,,,,,,,,,,,,,,,,,,,
Anourosorex schmidi,,,,,,,,,,,,,,,,,,,
Anourosorex squamipes,,,,,,,,,,,,,,,,,,,
Anourosorex yamashinai,,,,,,,,,,,,,,,,,,,
Antechinomys laniger,,,,,,,,,,,,,,,,,,,
Antechinus adustus,,,,,,,,,,,,,,,,,,,
Antechinus agilis,,,,,,,,,,,,,,,,,,,
Antechinus bellus,,,,,,,,,,,,,,,,,,,
Antechinus flavipes,,,,,,,,,,,,,,,,,,,
Antechinus godmani,,,,,,,,,,,,,,,,,,,
Antechinus leo,,,,,,,,,,,,,,,,,,,
Antechinus minimus,,,,,,,,,,,,,,,,,,,
Antechinus stuartii,,,,,,,,,,,,,,,,,,,
Antechinus subtropicus,,,,,,,,,,,,,,,,,,,
Antechinus swainsonii,,,,,,,,,,,,,,,,,,,
Anthops ornatus,,,,,,,,,,,,,,,,,,,
Antidorcas marsupialis,,,,,,,,,,,,,,,,,,,
Antilocapra americana,,,,,,,,,,,,,,,,,,,
Antilope cervicapra,,,,,,,,,,,,,,,,,,,
Antrozous pallidus,,,,,,,,,,,,,,,,,,,
Aonyx capensis,,,,,,,,,,,,,,,,,,,
Aonyx cinereus,Amblonyx cinereus,Aonyx cinerea,Lutra cinerea,,,,,,,,,,,,,,,,
Aonyx congicus,,,,,,,,,,,,,,,,,,,
Aotus azarae,Aotus azarai,Pithecia miriquouina,Simia azarae,,,,,,,,,,,,,,,,
Aotus brumbacki,Aotus lemurinus subspecies brumbacki,,,,,,,,,,,,,,,,,,
Aotus griseimembra,,,,,,,,,,,,,,,,,,,
Aotus jorgehernandezi,,,,,,,,,,,,,,,,,,,
Aotus lemurinus,Aotus hershkovitzi,,,,,,,,,,,,,,,,,,
